Date,gold_futures_Open,gold_futures_High,gold_futures_Low,gold_futures_Close,gold_futures_Adj Close,gold_futures_Volume,ZT=F_Open,ZT=F_High,ZT=F_Low,ZT=F_Close,ZT=F_Adj Close,ZT=F_Volume,ZS=F_Open,ZS=F_High,ZS=F_Low,ZS=F_Close,ZS=F_Adj Close,ZS=F_Volume,ZR=F_Open,ZR=F_High,ZR=F_Low,ZR=F_Close,ZR=F_Adj Close,ZR=F_Volume,ZO=F_Open,ZO=F_High,ZO=F_Low,ZO=F_Close,ZO=F_Adj Close,ZO=F_Volume,ZN=F_Open,ZN=F_High,ZN=F_Low,ZN=F_Close,ZN=F_Adj Close,ZN=F_Volume,ZM=F_Open,ZM=F_High,ZM=F_Low,ZM=F_Close,ZM=F_Adj Close,ZM=F_Volume,ZL=F_Open,ZL=F_High,ZL=F_Low,ZL=F_Close,ZL=F_Adj Close,ZL=F_Volume,ZF=F_Open,ZF=F_High,ZF=F_Low,ZF=F_Close,ZF=F_Adj Close,ZF=F_Volume,ZC=F_High,ZC=F_Low,ZC=F_Close,ZC=F_Adj Close,ZC=F_Volume,ZB=F_Open,ZB=F_High,ZB=F_Low,ZB=F_Close,ZB=F_Adj Close,ZB=F_Volume,YM=F_Open,YM=F_High,YM=F_Low,YM=F_Close,YM=F_Adj Close,YM=F_Volume,SIL=F_Open,SIL=F_High,SIL=F_Low,SIL=F_Close,SIL=F_Adj Close,SIL=F_Volume,SI=F_Open,SI=F_High,SI=F_Low,SI=F_Close,SI=F_Adj Close,SI=F_Volume,SB=F_Open,SB=F_High,SB=F_Low,SB=F_Close,SB=F_Adj Close,SB=F_Volume,RTY=F_Open,RTY=F_High,RTY=F_Low,RTY=F_Close,RTY=F_Adj Close,RTY=F_Volume,RB=F_Open,RB=F_High,RB=F_Low,RB=F_Close,RB=F_Adj Close,RB=F_Volume,PL=F_Open,PL=F_High,PL=F_Low,PL=F_Close,PL=F_Adj Close,PL=F_Volume,PA=F_Open,PA=F_High,PA=F_Low,PA=F_Close,PA=F_Adj Close,PA=F_Volume,NQ=F_Open,NQ=F_High,NQ=F_Low,NQ=F_Close,NQ=F_Adj Close,NQ=F_Volume,NG=F_Open,NG=F_High,NG=F_Low,NG=F_Close,NG=F_Adj Close,NG=F_Volume,MGC=F_Open,MGC=F_High,MGC=F_Low,MGC=F_Close,MGC=F_Adj Close,MGC=F_Volume,LE=F_Open,LE=F_High,LE=F_Low,LE=F_Close,LE=F_Adj Close,LE=F_Volume,LBS=F_Open,LBS=F_High,LBS=F_Low,LBS=F_Close,LBS=F_Adj Close,LBS=F_Volume,KE=F_Open,KE=F_High,KE=F_Low,KE=F_Close,KE=F_Adj Close,KE=F_Volume,KC=F_Open,KC=F_High,KC=F_Low,KC=F_Close,KC=F_Adj Close,KC=F_Volume,HO=F_Open,HO=F_High,HO=F_Low,HO=F_Close,HO=F_Adj Close,HO=F_Volume,HG=F_Open,HG=F_High,HG=F_Low,HG=F_Close,HG=F_Adj Close,HG=F_Volume,HE=F_Open,HE=F_High,HE=F_Low,HE=F_Close,HE=F_Adj Close,HE=F_Volume,GF=F_Open,GF=F_High,GF=F_Low,GF=F_Close,GF=F_Adj Close,GF=F_Volume,ES=F_Open,ES=F_High,ES=F_Low,ES=F_Close,ES=F_Adj Close,ES=F_Volume,CT=F_Open,CT=F_High,CT=F_Low,CT=F_Close,CT=F_Adj Close,CT=F_Volume,CL=F_Open,CL=F_High,CL=F_Low,CL=F_Close,CL=F_Adj Close,CL=F_Volume,CC=F_Open,CC=F_High,CC=F_Low,CC=F_Close,CC=F_Adj Close,CC=F_Volume,BZ=F_Open,BZ=F_High,BZ=F_Low,BZ=F_Close,BZ=F_Adj Close,BZ=F_Volume,temperature_2m_mean,sunshine_duration,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,ZC=F_Open_Diff,EMA,RSI,Williams_%R,ZC=F_Open_Diff_absolute
1/22/2018,1328.400024,1330.900024,1328.400024,1330.900024,1330.900024,162,106.734375,106.7421875,106.703125,106.7265625,106.7265625,368960,980.5,987.25,980,984.25,984.25,124262,1212,1223,1208.5,1218,1218,224,258.5,266,258.5,265,265,385,122.28125,122.359375,122.046875,122.09375,122.09375,1455296,333.2999878,338.8999939,333.2000122,338.6000061,338.6000061,75566,32.29999924,32.45999908,32.09999847,32.15999985,32.15999985,52801,115.1171875,115.171875,115,115.0390625,115.0390625,791637,354.5,351.25,352,352,177588,148.90625,149.28125,148.375,148.6875,148.6875,235617,25981,26225,25944,26195,26195,140635,17.20000076,17.20000076,16.93099976,16.93099976,16.93099976,1,16.98500061,16.98500061,16.93099976,16.93099976,16.93099976,3,13.31000042,13.47000027,13.15999985,13.17000008,13.17000008,58436,1593.400024,1608.900024,1591,1607,1607,95270,1.866400003,1.888000011,1.860000014,1.880100012,1.880100012,35296,997,998.5999756,994,994.2999878,994.2999878,10,1094.949951,1094.949951,1094.949951,1094.949951,1094.949951,0,6830.75,6941.25,6824.25,6931,6931,262762,3.252000093,3.269000053,3.142999887,3.223999977,3.223999977,201676,1333,1336,1328.099976,1331.900024,1331.900024,3279,122.8499985,123.8499985,122.8000031,123.5500031,123.5500031,12459,480,481.7999878,473.7000122,474.7999878,474.7999878,271,428.25,431,426.25,428.5,428.5,20033,121.6500015,123.3499985,121.5500031,122.5500031,122.5500031,16862,2.0625,2.07159996,2.040499926,2.056900024,2.056900024,38226,3.188499928,3.188499928,3.174999952,3.17750001,3.17750001,231,72.27500153,72.27500153,71.65000153,71.80000305,71.80000305,7468,148.1999969,148.2749939,147.5,147.8999939,147.8999939,1220,2804,2838.25,2802,2835.25,2835.25,1179414,83.34999847,83.94999695,83,83.41000366,83.41000366,17156,63.61000061,64.13999939,63.16999817,63.49000168,63.49000168,625662,1939,1975,1921,1938,1938,19359,68.77999878,69.51000214,68.38999939,69.02999878,69.02999878,23250,-2.9328334,29167.156,16.676977,24.84,63.93001,9.89,1.3801591,2,350.6487462187748,61.35460293,0,1
1/23/2018,1335.800049,1335.900024,1335.699951,1335.699951,1335.699951,47,106.734375,106.7890625,106.7265625,106.7734375,106.7734375,326409,983,988.75,979.5,986.25,986.25,107959,1214.5,1230,1211,1220,1220,398,266.25,274.75,265.25,270,270,1171,122.171875,122.515625,122.125,122.421875,122.421875,1539444,337.7000122,340,334.2999878,339.6000061,339.6000061,89159,32.22000122,32.65999985,32.16999817,32.52000046,32.52000046,62147,115.0859375,115.265625,115.046875,115.2265625,115.2265625,722931,352,349.5,351.25,351.25,204570,148.875,149.6875,148.78125,149.21875,149.21875,285708,26201,26315,26135,26201,26201,183153,16.85499954,16.85499954,16.85499954,16.85499954,16.85499954,0,16.85499954,16.85499954,16.85499954,16.85499954,16.85499954,10,13.10000038,13.27999973,13.10000038,13.18999958,13.18999958,52557,1607.199951,1616.300049,1599.800049,1613.099976,1613.099976,96856,1.888399959,1.914999962,1.882699966,1.908699989,1.908699989,31446,1005.299988,1005.299988,1005.299988,1005.299988,1005.299988,0,1086.900024,1086.900024,1086.900024,1086.900024,1086.900024,0,6929.75,6981.25,6919.75,6965.75,6965.75,336204,3.253999949,3.628000021,3.249000072,3.444000006,3.444000006,291378,1332.900024,1341.400024,1330.800049,1336.699951,1336.699951,4067,123.75,124.9499969,123.3499985,124.7249985,124.7249985,11873,473.8999939,475.8999939,469.7999878,471.8999939,471.8999939,353,427.25,428.5,422,423.25,423.25,26664,122.1500015,122.4000015,120.5,120.9499969,120.9499969,17387,2.064100027,2.098500013,2.058199883,2.086100101,2.086100101,36368,3.142499924,3.142499924,3.08949995,3.08949995,3.08949995,345,72.17500305,72.77500153,71.52500153,72.25,72.25,11659,148.1000061,148.9499969,147.6499939,148.625,148.625,1466,2835.25,2844.75,2828.75,2839.5,2839.5,1282163,83.41999817,83.68000031,82.01000214,82.26000214,82.26000214,21793,63.88000107,64.87999725,63.70000076,64.47000122,64.47000122,662456,1949,1970,1923,1929,1929,16983,69.25,70.23999786,69.12000275,69.95999908,69.95999908,23749,-3.1119995,20283.604,29.49804,46.079998,66.979355,7.96,1.7556862,-1.75,350.7955800562715,53.66799701234641,-28,0
1/24/2018,1355.900024,1357.199951,1355.900024,1355.900024,1355.900024,18,106.7890625,106.796875,106.7265625,106.734375,106.734375,323713,985.75,994.75,980.25,992.25,992.25,139169,1219,1220,1202.5,1216.5,1216.5,448,270.75,278.75,270,275.5,275.5,987,122.484375,122.546875,122.140625,122.203125,122.203125,1616438,339.3999939,343.3999939,335.8999939,342,342,84585,32.52999878,32.79999924,32.52000046,32.68000031,32.68000031,66377,115.2578125,115.2890625,115.1015625,115.125,115.125,996064,357,349.75,356.5,356.5,326298,149.375,149.5,148.21875,148.46875,148.46875,363674,26185,26387,26087,26270,26270,239662,17.42499924,17.42499924,17.42499924,17.42499924,17.42499924,0,17.42499924,17.42499924,17.42499924,17.42499924,17.42499924,3,13.18999958,13.25,13.03999996,13.15999985,13.15999985,60160,1611.800049,1619.199951,1596.5,1601.099976,1601.099976,128469,1.906900048,1.927299976,1.885400057,1.916399956,1.916399956,47195,1013.299988,1013.299988,1013.299988,1013.299988,1013.299988,0,1109,1109,1109,1109,1109,0,6956.5,7004.25,6888.25,6931.25,6931.25,526387,3.540999889,3.624000072,3.404000044,3.509000063,3.509000063,213630,1341.300049,1361.5,1339,1356.300049,1356.300049,5118,125,125.6750031,124.8000031,125.4250031,125.4250031,11801,473.1000061,476.6000061,472.5,472.8999939,472.8999939,269,423.75,434,421.75,433,433,42375,121.25,123.0999985,120.6999969,122.5,122.5,20140,2.088900089,2.115700006,2.077100039,2.106100082,2.106100082,44227,3.153000116,3.213500023,3.153000116,3.208499908,3.208499908,323,72.30000305,73.30000305,71.84999847,72.92500305,72.92500305,8610,148.8500061,148.8500061,148.0749969,148.1499939,148.1499939,855,2837,2855.25,2825.5,2841,2841,1885278,82.06999969,82.73000336,81.61000061,82.26999664,82.26999664,25404,64.41999817,66.05000305,64.33999634,65.61000061,65.61000061,887018,1939,1964,1908,1955,1955,22769,69.87999725,70.91000366,69.54000092,70.52999878,70.52999878,23732,-4.932833,31051.87,26.052162,42.48,66.34696,10.6,1.4342875,-0.5,350.85616938210194,51.67598096,-36,0
1/25/2018,1356.300049,1362.400024,1346.699951,1362.400024,1362.400024,4,106.7421875,106.765625,106.6796875,106.7265625,106.7265625,425217,992,1002,987,992.25,992.25,154146,1213,1220,1205,1214,1214,432,276,279,259.25,261,261,1221,122.25,122.46875,121.96875,122.4375,122.4375,1766131,342,348.5,336.7999878,340.3999939,340.3999939,109283,32.70000076,32.84999847,32.45999908,32.5,32.5,57554,115.15625,115.234375,114.96875,115.2109375,115.2109375,880499,358,354.5,355.25,355.25,223613,148.65625,149.5,148.34375,149.40625,149.40625,391865,26265,26437,26210,26376,26376,222390,17.5510006,17.5510006,17.5510006,17.5510006,17.5510006,0,17.52499962,17.5510006,17.52499962,17.5510006,17.5510006,1,13.22999954,13.38000011,13.09000015,13.23999977,13.23999977,63791,1601.099976,1612.400024,1594.599976,1604.400024,1604.400024,106295,1.920899987,1.931399941,1.904099941,1.915400028,1.915400028,36491,1022.599976,1029.300049,1022.599976,1029.300049,1029.300049,56,1100.050049,1100.050049,1100.050049,1100.050049,1100.050049,0,6933.5,6987.25,6902,6931.5,6931.5,415464,3.438999891,3.58100009,3.398000002,3.447000027,3.447000027,84785,1358.099976,1365.400024,1341.300049,1362.900024,1362.900024,7863,125.5250015,126.0250015,122.4250031,122.4749985,122.4749985,16347,475,482.8999939,473.7000122,478,478,491,433,439.25,430,435,435,34114,122.6999969,125.5,121.6999969,123.6500015,123.6500015,27185,2.110300064,2.126399994,2.105799913,2.115400076,2.115400076,35415,3.216500044,3.216500044,3.198999882,3.198999882,3.198999882,352,73.32499695,73.72499847,72.15000153,72.47499847,72.47499847,8141,148,148,147.6499939,147.8500061,147.8500061,6824,2840,2853.75,2830.75,2841.25,2841.25,1439217,82.27999878,82.84999847,81.76999664,81.87999725,81.87999725,18011,65.87999725,66.66000366,65.08000183,65.51000214,65.51000214,771758,1953,1991,1944,1960,1960,18916,70.70999908,71.26000214,69.97000122,70.41999817,70.41999817,24111,-6.68075,31372.281,30.555498,45,62.08034,9.99,1.3741553,4.75,351.5420134644884,64.97598263505397,0,1
1/26/2018,1351.599976,1352,1350.900024,1351.599976,1351.599976,280546,106.71875,106.7265625,106.6328125,106.6640625,106.6640625,436571,990.25,995.5,983.75,985.5,985.5,110339,1214,1239,1213.5,1233.5,1233.5,784,261,266.5,256.5,266,266,552,122.4375,122.453125,121.984375,122.0625,122.0625,1484833,340.3999939,341.7999878,334,335.7000122,335.7000122,72613,32.59000015,32.91999817,32.5,32.79000092,32.79000092,48234,115.1953125,115.203125,114.90625,114.96875,114.96875,857911,357,354.5,356.5,356.5,140790,149.375,149.46875,148.46875,148.75,148.75,286107,26381,26608,26381,26604,26604,145941,17.37999916,17.38199997,17.37999916,17.38199997,17.38199997,3,17.38199997,17.38199997,17.38199997,17.38199997,17.38199997,41,13.28999996,13.44999981,13.21000004,13.35999966,13.35999966,54999,1604,1610,1600.099976,1609.599976,1609.599976,69360,1.903900027,1.950999975,1.902899981,1.937700033,1.937700033,36828,1015,1015,1015,1015,1015,9,1087.699951,1087.699951,1087.699951,1087.699951,1087.699951,0,6938,7034.5,6934.25,7030.25,7030.25,326274,3.437000036,3.611000061,3.410000086,3.505000114,3.505000114,75224,1347.5,1356.099976,1343.900024,1352.099976,1352.099976,4805,122.4250031,125,122.2249985,124.5999985,124.5999985,10581,485.1000061,488,482.2999878,487.2999878,487.2999878,617,435,444.5,434.25,443,443,32528,123.6500015,125.3499985,123.5,125.1500015,125.1500015,25807,2.111099958,2.143100023,2.105400085,2.135999918,2.135999918,29637,3.174499989,3.182499886,3.174499989,3.182499886,3.182499886,709,72.69999695,73.125,72.17500305,72.27500153,72.27500153,5056,143.8999939,147.4750061,143.25,146.7250061,146.7250061,6452,2842.25,2876,2841.25,2874.5,2874.5,1286287,81.86000061,81.98000336,80.31999969,80.48000336,80.48000336,26965,65.25,66.34999847,64.91000366,66.13999939,66.13999939,678186,1957,1998,1950,1986,1986,20215,70.09999847,70.83000183,69.83999634,70.51999664,70.51999664,30361,-8.251584,8059.4263,42.91254,65.159996,55.8592,5.62,1.4223229,-1,352.00307833588994,61.15966246544703,-11.42857143,0
1/30/2018,1338.699951,1347.800049,1332.800049,1335.400024,1335.400024,52100,106.671875,106.6953125,106.625,106.6640625,106.6640625,405262,994.5,1004.75,988.25,1000.25,1000.25,169083,1240.5,1246,1233.5,1241,1241,560,269.75,272.75,268.75,270,270,460,121.8125,121.953125,121.53125,121.640625,121.640625,1691151,338.2000122,342.7999878,334.7999878,340.5,340.5,73573,32.97000122,33.11000061,32.61999893,33.08000183,33.08000183,61960,114.8828125,114.96875,114.7265625,114.8359375,114.8359375,879250,362.25,359,361.5,361.5,223192,148.0625,148.34375,147.125,147.375,147.375,391461,26417,26477,26005,26055,26055,306912,17.01300049,17.01300049,17.01300049,17.01300049,17.01300049,0,17.05500031,17.18499947,17.01300049,17.01300049,17.01300049,22,13.68999958,13.75,13.47999954,13.72000027,13.72000027,75808,1598.900024,1601.5,1579.599976,1586.800049,1586.800049,134710,1.936300039,1.952999949,1.877799988,1.895400047,1.895400047,24194,997.4000244,997.4000244,997.4000244,997.4000244,997.4000244,7,1056.400024,1056.400024,1056.400024,1056.400024,1056.400024,0,6991.5,7006.5,6902.75,6941.5,6941.5,524079,3.187000036,3.259000063,3.161000013,3.194999933,3.194999933,257758,1338.800049,1347.400024,1332.900024,1335.400024,1335.400024,760,125.4000015,125.625,123.5500031,124.8249969,124.8249969,12259,472.2999878,474,467.7999878,467.7999878,467.7999878,737,458,470.25,457.75,469.75,469.75,81857,124.75,125.1999969,121.5500031,122.3000031,122.3000031,34074,2.101200104,2.103499889,2.06069994,2.071700096,2.071700096,22548,3.160000086,3.186500072,3.150000095,3.177000046,3.177000046,665,72.59999847,72.72499847,72.05000305,72.44999695,72.44999695,7580,146.5500031,147.6750031,144.4250031,147.1750031,147.1750031,7146,2853.25,2858,2818.5,2824.5,2824.5,2133815,78.36000061,78.93000031,76.95999908,77.02999878,77.02999878,29236,65.52999878,65.55999756,63.88999939,64.5,64.5,688380,1944,1988,1943,1970,1970,24277,69.51999664,69.51999664,68.41999817,69.01999664,69.01999664,12571,-11.282833,28577.375,13.202726,21.24,266.10355,10.59,0.74653643,4.5,353.00266789110464,69.76548136043893,0,1
1/31/2018,1337.5,1346.900024,1331.800049,1339,1339,4881,106.671875,106.703125,106.578125,106.6171875,106.6171875,718978,1000,1002,989,995.75,995.75,165828,1238,1251,1230,1244,1244,1073,270.25,272.75,258.5,265.5,265.5,857,121.65625,121.859375,121.328125,121.578125,121.578125,2439319,340.7999878,342,335,337.7999878,337.7999878,62188,33.11000061,33.13999939,32.91999817,33.06999969,33.06999969,58080,114.8359375,114.9453125,114.5859375,114.7109375,114.7109375,1448935,362,359.5,361.5,361.5,180487,147.4375,148.1875,147.09375,147.8125,147.8125,518389,26045,26310,26026,26136,26136,243904,17.20400047,17.20400047,17.20400047,17.20400047,17.20400047,0,17.17499924,17.20999908,17.17499924,17.20400047,17.20400047,22,13.72000027,13.72000027,13.17000008,13.22999954,13.22999954,81619,1586.300049,1596.699951,1570.800049,1576,1576,126675,1.879799962,1.912500024,1.869699955,1.907500029,1.907500029,95196,1001.599976,1001.599976,1001.299988,1001.299988,1001.299988,1,1027.5,1027.5,1027.5,1027.5,1027.5,0,6938.25,6991,6921.5,6962.5,6962.5,413798,3.164999962,3.183000088,2.948999882,2.994999886,2.994999886,334638,1335.599976,1349,1335.199951,1339,1339,20,124.8249969,124.9499969,123.6750031,123.8499985,123.8499985,9379,468.1000061,477.7999878,468,470.8999939,470.8999939,565,469,471.25,463.5,467.25,467.25,68386,122.5,123.3000031,121.1500015,121.8499985,121.8499985,19415,2.059999943,2.07249999,2.055900097,2.069200039,2.069200039,77769,3.210500002,3.210500002,3.184000015,3.184000015,3.184000015,803,72.75,73.5,72.67500305,73.22499847,73.22499847,6081,146.5,147.3999939,144.75,145.0500031,145.0500031,5243,2823.25,2839.75,2813,2825.75,2825.75,1841227,77.23999786,78.19999695,76.51999664,77.27999878,77.27999878,38453,64.02999878,64.94000244,63.66999817,64.73000336,64.73000336,613258,1978,2012,1974,1996,1996,30072,68.37999725,69.06999969,68.30000305,69.05000305,69.05000305,1494,-11.064083,28988.2,11.983188,16.56,12.1368265,11.19,0.87354034,2,354.13564550562404,72.66442387648243,0,1
2/1/2018,1343.800049,1350.599976,1336.800049,1344.300049,1344.300049,1680,106.609375,106.6328125,106.5625,106.5859375,106.5859375,608720,995.25,995.5,977.5,985,985,159220,1241.5,1245,1235,1240.5,1240.5,715,265.75,270,265.5,267.25,267.25,464,121.671875,121.671875,121.078125,121.21875,121.21875,2201452,337.7999878,337.8999939,330.7000122,334,334,66163,33,33.20000076,32.83000183,32.90000153,32.90000153,74706,114.7421875,114.7421875,114.484375,114.546875,114.546875,1061656,362,358.5,361.75,361.75,254881,148.03125,148.0625,146.09375,146.5625,146.5625,468340,26162,26280,25922,26172,26172,290184,17.11800003,17.11800003,17.11800003,17.11800003,17.11800003,0,17.11800003,17.11800003,17.11800003,17.11800003,17.11800003,0,13.22999954,13.43999958,13.22999954,13.36999989,13.36999989,77211,1578.699951,1584.800049,1565.5,1582.599976,1582.599976,136429,1.89470005,1.90989995,1.878100038,1.895799994,1.895799994,85936,1004.799988,1004.799988,1004.799988,1004.799988,1004.799988,0,1028.650024,1028.650024,1028.650024,1028.650024,1028.650024,0,6973,6987.75,6884.75,6898.5,6898.5,492861,2.95600009,2.977999926,2.836999893,2.855999947,2.855999947,359410,1341.900024,1353.199951,1341.900024,1344.300049,1344.300049,21,124.5999985,126.8249969,124.25,126.4250031,126.4250031,12163,474.2000122,479.8999939,472.8999939,475.1000061,475.1000061,435,465.75,469,457.5,467,467,60598,121.6999969,122.3000031,120.3499985,121.4000015,121.4000015,24653,2.066400051,2.098099947,2.065299988,2.090399981,2.090399981,64071,3.180000067,3.207499981,3.17750001,3.197000027,3.197000027,893,73.75,74.94999695,73.69999695,74.82499695,74.82499695,5973,145.8249969,149.5500031,145.4250031,149.5500031,149.5500031,7172,2828.75,2837.25,2809.5,2822.5,2822.5,1646906,77.30000305,79.93000031,77.16000366,78.34999847,78.34999847,37574,64.76000214,66.25,64.62999725,65.80000305,65.80000305,685750,1997,2037,1986,2017,2017,30063,69.08000183,69.08000183,69.08000183,69.08000183,69.08000183,29317,-9.901584,32112.283,14.81259,20.519999,61.915886,11.84,0.9766912,-0.75,355.0175594382075,69.95563474837664,-5.263157895,0
2/2/2018,1348.5,1352.099976,1327.699951,1333.699951,1333.699951,2841,106.5703125,106.6328125,106.5390625,106.59375,106.59375,704884,985.75,986.25,977,978.75,978.75,100314,1236,1248.5,1234,1246,1246,515,266.75,269.75,266,267.5,267.5,247,121.09375,121.203125,120.65625,120.734375,120.734375,2651934,334,334.2999878,330.7000122,331.3999939,331.3999939,48712,32.90000153,32.91999817,32.47999954,32.50999832,32.50999832,53760,114.4921875,114.578125,114.2890625,114.4140625,114.4140625,1326775,362.5,359.5,361.5,361.5,198988,146.1875,146.375,144.75,144.78125,144.78125,561877,26172,26215,25410,25428,25428,353706,16.6760006,16.6760006,16.6760006,16.6760006,16.6760006,0,16.6760006,16.6760006,16.6760006,16.6760006,16.6760006,3,13.39999962,13.65999985,13.35999966,13.63000011,13.63000011,66818,1583,1585.800049,1542.199951,1544.199951,1544.199951,179494,1.90139997,1.907400012,1.842800021,1.871999979,1.871999979,74490,996.4000244,996.4000244,996.4000244,996.4000244,996.4000244,0,1048.900024,1048.900024,1048.900024,1048.900024,1048.900024,0,6954,6963.5,6752.25,6755.75,6755.75,642482,2.891000032,2.920000076,2.839999914,2.845999956,2.845999956,184073,1353.800049,1353.800049,1333.699951,1333.699951,1333.699951,7,126.4250031,127.5500031,125.75,126.8499985,126.8499985,6655,481.1000061,485.1000061,477.3999939,483.7000122,483.7000122,635,467.25,468.25,462,463.25,463.25,45532,121.5500031,121.5999985,119.8499985,120.4000015,120.4000015,24016,2.094700098,2.100500107,2.04369998,2.053499937,2.053499937,73053,3.191999912,3.205499887,3.163000107,3.176500082,3.176500082,413,75.15000153,75.40000153,74.55000305,75.19999695,75.19999695,5220,149.6999969,151.6000061,149.3249969,150.9250031,150.9250031,8264,2826.5,2831,2755.25,2756.75,2756.75,2532442,78.44999695,78.81999969,77.23000336,77.30000305,77.30000305,30885,65.98999786,66.30000305,64.47000122,65.44999695,65.44999695,857572,2030,2063,2015,2059,2059,32758,69.75,70.01000214,67.95999908,68.58000183,68.58000183,27547,-10.118251,32289.197,16.981165,30.960001,63.434986,12.07,1.1030253,0.25,355.81521817977983,70.35237539317644,-3.50877193,1
2/5/2018,1331.099976,1340.199951,1329,1333,1333,641,106.609375,106.84375,106.59375,106.734375,106.734375,857645,976.25,977.5,969.5,969.75,969.75,128425,1244,1255,1240,1253,1253,416,266.5,272.5,266,267.25,267.25,414,120.8125,122.0625,120.5625,121.265625,121.265625,2851851,330.2000122,330.5,326.2000122,327,327,56413,32.52000046,32.79000092,32.38999939,32.5,32.5,58247,114.453125,115.234375,114.375,114.7890625,114.7890625,1911355,360.75,357.25,358.75,358.75,260346,144.9375,147.5,144.09375,145.6875,145.6875,734436,25431,25477,23691,23938,23938,596827,16.63899994,16.63899994,16.63899994,16.63899994,16.63899994,0,16.63899994,16.63899994,16.63899994,16.63899994,16.63899994,12,13.65999985,13.92000008,13.27999973,13.89999962,13.89999962,106380,1543.5,1548.5,1447.300049,1459.300049,1459.300049,263121,1.871999979,1.879999995,1.830199957,1.846600056,1.846600056,81516,992.5,992.5,989.9000244,992.5,992.5,2,1036.900024,1036.900024,1036.900024,1036.900024,1036.900024,0,6752.25,6813.5,6387.75,6429.25,6429.25,931677,2.825000048,2.880000114,2.736000061,2.746999979,2.746999979,200176,1333,1333,1333,1333,1333,0,126.3000031,127.9000015,125.9000015,126.125,126.125,6102,479.7000122,481.2000122,474.8999939,477.8999939,477.8999939,341,459.75,466.75,454.5,461.75,461.75,59356,120.4000015,120.6999969,119.5,119.8000031,119.8000031,33335,2.045000076,2.045000076,2.004100084,2.019599915,2.019599915,74999,3.216500044,3.24000001,3.178999901,3.210500002,3.210500002,450,75.44999695,75.90000153,75,75.82499695,75.82499695,4245,150.8000031,151.9499969,148.0500031,149.6750031,149.6750031,7700,2757,2763,2595.75,2607.75,2607.75,4009557,77.36000061,77.91000366,76.44999695,76.56999969,76.56999969,25997,65.09999847,65.40000153,63.41999817,64.15000153,64.15000153,891063,2051,2067,2034,2045,2045,33513,68.19999695,68.45999908,67,67.62000275,67.62000275,32399,-7.826584,29162.336,17.193533,29.519999,296.95203,10.91,1.324337,-1.5,356.3065224224759,64.8214437,-14.03508772,0
